submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12/31/2020,AK,45771,,,372,0,281,,,3,0,12/31/2020 12:00:00 AM,N/A,N/A
12/31/2020,AR,225138,,,2708,871,3676,,,39,19,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,CO,347198,329081,18117,2858,201,4814,4168,646,64,7,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,HI,21026,,,175,0,286,,,3,0,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,AS,3,,,0,0,0,,,0,0,01/01/2021 02:49:07 PM,,
12/31/2020,PW,0,,,0,0,0,,,0,0,01/01/2021 02:49:07 PM,,
12/31/2020,KS,222433,186199,36234,0,0,2741,,,0,0,01/01/2021 02:49:07 PM,Agree,N/A
12/31/2020,OH,700380,628336,72044,9632,1477,8962,8112,850,107,4,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,NM,142864,,,1678,0,2385,,,41,0,01/02/2021 12:00:00 AM,N/A,Not agree
12/31/2020,RMI,4,4,0,0,0,0,0,0,0,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,PA,648569,581228,67341,8374,1181,15978,,,306,237,12/31/2020 12:00:00 AM,Agree,Not agree
12/31/2020,NC,548271,499000,49271,10342,1580,7920,7330,590,94,19,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,WA,244830,,,3065,259,3461,,,41,0,01/02/2021 12:00:00 AM,N/A,N/A
12/31/2020,MD,276662,,,2973,0,6257,6067,190,49,0,01/02/2021 12:00:00 AM,N/A,Agree
12/31/2020,IL,963389,963389,0,8009,0,17978,16490,1488,167,34,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,CT,185708,174679,11029,2045,273,5995,4854,1141,31,5,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,FSM,0,0,0,0,0,0,0,0,0,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,DC,28983,,,225,0,786,,,6,0,01/01/2021 02:49:07 PM,,
12/31/2020,MN,415302,,,2195,400,5382,5151,231,61,10,01/01/2021 02:49:07 PM,N/A,Agree
12/31/2020,RI,85319,,,1273,0,1778,,,6,0,02/25/2022 02:18:55 PM,Not agree,N/A
12/31/2020,NJ,527784,,,5525,429,19042,17021,2021,90,0,12/31/2020 12:00:00 AM,Not agree,Agree
12/31/2020,ID,141077,116717,24360,1213,346,1436,1269,167,33,4,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,VI,2036,,,5,0,23,,,0,0,01/01/2021 02:49:07 PM,,
12/31/2020,IN,511698,,,6480,0,8236,7931,305,103,3,12/31/2020 12:00:00 AM,Not agree,Agree
12/31/2020,GU,7308,,,0,0,121,,,0,0,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,ME,25924,22034,3890,593,129,347,341,6,3,1,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,MS,221928,150997,70931,2566,1662,5646,4228,1418,53,33,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,ND,92770,89730,3040,275,70,1309,,,17,0,01/01/2021 02:49:07 PM,Agree,Not agree
12/31/2020,MT,81555,81555,0,255,0,961,961,0,11,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,AL,362049,294818,67231,4780,947,7187,5915,1272,71,15,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,NE,167233,,,1473,0,1651,,,40,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,VT,6970,,,138,10,145,,,2,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,MI,589728,541752,47976,2567,258,13816,13038,778,78,8,01/01/2021 12:00:00 AM,Agree,Agree
12/31/2020,DE,58847,56460,2387,626,50,930,828,102,9,0,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,NV,224731,224731,0,2137,0,3125,,,59,0,01/01/2021 02:49:07 PM,Agree,
12/31/2020,WI,520438,481102,39336,4212,402,5242,4859,383,50,9,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,CA,2231552,2231552,0,13410,0,25374,25374,0,636,0,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,MO,449569,,,3800,947,6856,,,41,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,NH,44028,,,786,343,758,,,17,4,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,LA,315275,,,4046,717,7488,7115,373,40,3,01/01/2021 02:49:07 PM,Not agree,Agree
12/31/2020,VA,354767,297054,57713,5183,1575,5081,4478,603,49,8,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,OR,113909,112189,1720,1649,0,1477,1462,15,9,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,AZ,520559,495469,25090,7721,904,8864,8006,858,146,32,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,KY,275100,219778,55322,4174,1019,4861,4383,478,62,9,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,WY,44409,38010,6399,276,64,438,438,0,33,0,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,SC,317391,286463,30928,4938,1318,5300,,,51,10,12/31/2020 12:00:00 AM,Agree,Not agree
12/31/2020,FL,1314055,,,20939,5076,23273,,,160,14,12/31/2020 12:00:00 AM,Not agree,Not agree
12/31/2020,MP,122,122,0,0,0,2,2,0,0,0,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,WV,85334,69506,15828,1109,-3,1338,,,20,4,01/01/2021 02:49:07 PM,Agree,Not agree
12/31/2020,TX,1756172,,,18725,3740,31282,,,266,0,01/02/2021 12:00:00 AM,Not agree,Not agree
12/31/2020,MA,375178,359445,15733,7260,373,12613,12346,267,84,1,01/02/2021 12:00:00 AM,Agree,Agree
12/31/2020,OK,325524,266064,59460,4151,1033,4564,4050,514,55,10,01/01/2021 12:00:00 AM,Agree,Agree
12/31/2020,GA,666452,566676,99776,11709,3210,10934,9872,1062,88,24,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,PR,79858,75122,4736,805,74,1515,1262,253,20,4,12/31/2020 12:00:00 AM,Agree,Agree
12/31/2020,UT,276612,276612,0,4672,0,1269,1244,25,13,2,01/01/2021 02:49:07 PM,Agree,Agree
12/31/2020,NYC,442472,391642,50830,6218,1008,25061,20317,4744,54,4,12/29/2020 12:00:00 AM,Agree,Agree
12/31/2020,NY,548154,,,10809,0,12566,,,100,0,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,IA,280669,,,1710,392,3891,,,69,69,01/01/2021 02:49:07 PM,Not agree,Not agree
12/31/2020,SD,99164,,,444,119,1488,1204,284,24,6,01/01/2021 02:49:07 PM,N/A,Agree
12/31/2020,TN,576491,507670,68821,6690,2155,6810,5923,887,100,30,12/30/2020 12:00:00 AM,Agree,Agree
